agent_number,hat_number
0,45448
1,15916
2,16228
3,10381
4,12299
5,28086
6,32936
7,19069
8,30363
9,8830
10,39185
11,8247
12,46614
13,37073
14,42261
15,44669
16,27985
17,40475
18,22796
19,27990
20,44552
21,23778
22,36582
23,18603
24,7642
25,41258
26,38854
27,35941
28,7216
29,34404
30,201
31,23343
32,22995
33,13055
34,43787
35,10182
36,41021
37,44237
38,36631
39,25080
40,35037
41,32743
42,9004
43,1862
44,31832
45,17669
46,403
47,6259
48,12379
49,4753
50,6363
51,49857
52,10796
53,3290
54,10722
55,6663
56,39405
57,13400
58,15363
59,5450
60,15740
61,5180
62,35247
63,18750
64,34216
65,39837
66,14484
67,17407
68,8514
69,47640
70,47689
71,36325
72,664
73,24416
74,14376
75,11472
76,31211
77,49705
78,24784
79,26076
80,26046
81,27117
82,41454
83,27525
84,37218
85,16696
86,22294
87,17072
88,9868
89,38026
90,4980
91,36497
92,28385
93,2019
94,30054
95,13606
96,34809
97,38391
98,39060
99,16118
100,39386
101,18224
102,12644
103,28375
104,46153
105,22245
106,29222
107,1413
108,2583
109,31914
110,47747
111,18670
112,480
113,30567
114,45629
115,40046
116,40592
117,44153
118,35538
119,18919
120,20612
121,30110
122,16847
123,4892
124,45424
125,13161
126,8571
127,34609
128,34439
129,36401
130,16244
131,34330
132,47248
133,8235
134,8395
135,43705
136,28506
137,9835
138,18698
139,11589
140,7546
141,8572
142,13989
143,3434
144,10151
145,23524
146,35206
147,4152
148,1100
149,15540
150,5600
151,22795
152,17547
153,32118
154,11016
155,8009
156,46016
157,45172
158,8574
159,27140
160,4757
161,20476
162,16588
163,17379
164,28677
165,27678
166,34256
167,39186
168,3077
169,37599
170,2580
171,18163
172,35664
173,24036
174,19878
175,39667
176,2193
177,47910
178,25178
179,4019
180,30754
181,46355
182,2266
183,46323
184,747
185,6766
186,41747
187,6298
188,46895
189,5026
190,35674
191,31225
192,19101
193,47743
194,12293
195,44857
196,3495
197,29402
198,12787
199,10668
200,2590
201,22572
202,22414
203,32521
204,22838
205,19048
206,30857
207,16765
208,4221
209,49117
210,48492
211,14938
212,33946
213,6643
214,49850
215,13653
216,16230
217,11564
218,9359
219,39975
220,38411
221,17408
222,29277
223,14863
224,32119
225,2916
226,49078
227,42487
228,39909
229,39457
230,23112
231,42068
232,20744
233,2341
234,5293
235,1588
236,44019
237,42816
238,48591
239,8859
240,16358
241,5260
242,17097
243,2273
244,30955
245,35751
246,20648
247,21247
248,21579
249,11092
250,38444
251,37806
252,18932
253,44621
254,46130
255,2916
256,43285
257,43904
258,46714
259,41093
260,37925
261,31964
262,43392
263,42480
264,6528
265,14844
266,11776
267,49609
268,22448
269,36768
270,33522
271,20216
272,8682
273,6350
274,20861
275,7117
276,39325
277,32272
278,11284
279,23721
280,17525
281,35027
282,46464
283,29595
284,3434
285,31898
286,33644
287,42289
288,36301
289,43082
290,36404
291,21455
292,3456
293,7779
294,32663
295,42115
296,26879
297,7452
298,39802
299,6125
300,26716
301,45764
302,1915
303,5768
304,20502
305,36596
306,36852
307,12943
308,18341
309,32081
310,26185
311,41895
312,29027
313,7354
314,18159
315,1167
316,5210
317,18999
318,13122
319,28708
320,27075
321,41521
322,38168
323,36831
324,487
325,11725
326,39835
327,11877
328,37294
329,31853
330,17207
331,17336
332,44196
333,1537
334,23903
335,12370
336,31088
337,15066
338,32057
339,10138
340,19747
341,2883
342,24306
343,47675
344,42547
345,43021
346,36437
347,22800
348,3903
349,24138
350,18148
351,27974
352,17777
353,37859
354,12990
355,49864
356,47618
357,5947
358,35999
359,10019
360,42932
361,28792
362,33447
363,33879
364,23705
365,11058
366,28244
367,23262
368,2016
369,20724
370,26298
371,27451
372,13272
373,9056
374,19894
375,11065
376,45404
377,38669
378,19940
379,27536
380,36630
381,43638
382,42806
383,30310
384,18486
385,27038
386,17981
387,27480
388,49421
389,38273
390,34800
391,48839
392,7798
393,47834
394,6111
395,10809
396,42808
397,31450
398,20815
399,22640
400,18648
401,18252
402,48015
403,7806
404,27673
405,29569
406,17970
407,19536
408,2820
409,42745
410,11552
411,47281
412,19427
413,10190
414,36449
415,31882
416,35988
417,19449
418,26016
419,21075
420,12840
421,42196
422,46233
423,46818
424,6527
425,23414
426,40949
427,18074
428,43961
429,32524
430,43149
431,34898
432,25899
433,27558
434,13701
435,44531
436,22351
437,2770
438,32319
439,33550
440,9098
441,25541
442,15301
443,23516
444,35561
445,6375
446,25887
447,35489
448,30775
449,30144
450,31908
451,14142
452,46640
453,44217
454,48999
455,19857
456,46063
457,28755
458,48537
459,13425
460,26805
461,6404
462,24942
463,19751
464,18211
465,19375
466,19607
467,676
468,42431
469,28274
470,31559
471,22818
472,3731
473,36066
474,32668
475,7473
476,44187
477,36770
478,19932
479,19730
480,34220
481,28363
482,37328
483,42767
484,29148
485,25740
486,18059
487,45891
488,45977
489,29862
490,12124
491,3994
492,48156
493,27619
494,12150
495,22806
496,40810
497,45041
498,18849
499,32277
500,2220
501,17813
502,10432
503,16471
504,2081
505,20836
506,36585
507,494
508,19551
509,343
510,25754
511,30377
512,35430
513,38199
514,21776
515,501
516,29320
517,39446
518,36116
519,30029
520,15225
521,38155
522,28009
523,47331
524,19680
525,21567
526,14185
527,11856
528,11761
529,45236
530,13714
531,49558
532,31735
533,19060
534,16105
535,22669
536,42500
537,31449
538,6962
539,25788
540,19680
541,25904
542,22420
543,41439
544,38010
545,4685
546,32369
547,41449
548,8317
549,28007
550,2688
551,6717
552,9949
553,37466
554,26718
555,12724
556,41550
557,41889
558,15287
559,4114
560,25744
561,6045
562,24413
563,7205
564,37778
565,23778
566,6413
567,2384
568,2219
569,38027
570,47734
571,13760
572,33440
573,35306
574,8352
575,5642
576,26141
577,7473
578,30877
579,43327
580,41191
581,5549
582,49798
583,29148
584,48151
585,34849
586,38765
587,35015
588,39067
589,17725
590,29585
591,48594
592,48263
593,29555
594,44129
595,5483
596,7535
597,7265
598,3028
599,20774
600,25328
601,12170
602,9921
603,9485
604,1912
605,31846
606,45029
607,48702
608,33356
609,24979
610,44420
611,23494
612,37779
613,29743
614,39538
615,45720
616,30427
617,41557
618,38213
619,7824
620,42235
621,44000
622,49954
623,9906
624,577
625,7058
626,7567
627,28582
628,19178
629,24564
630,24143
631,26033
632,26572
633,34031
634,10607
635,45970
636,34576
637,46116
638,15059
639,36620
640,8
641,9102
642,47552
643,9258
644,5586
645,11643
646,21618
647,2320
648,16762
649,35424
650,41908
651,6670
652,12599
653,30994
654,15471
655,46851
656,46700
657,2647
658,16317
659,37170
660,44028
661,44270
662,45142
663,35733
664,31779
665,30572
666,629
667,13351
668,29728
669,29469
670,49822
671,16504
672,32696
673,33546
674,48767
675,11471
676,35832
677,48678
678,40151
679,29187
680,38153
681,22826
682,3253
683,16650
